Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Sparkasse Jena,https://www.crunchbase.com/organization/sparkasse-jena,Investment Bank,6,2,"Jena, Thuringen, Germany",,"Sparkasse Jena is a German savings bank offers a collection of financial products and services to private, retail, and corporate customers.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.s-jena.de,https://www.linkedin.com/company/sparkasse-jena-saale-holzland-fil.-großer-brühl,6,1,
Siemens Bank,https://www.crunchbase.com/organization/siemens-bank,"Investment Bank, Venture Debt",6,1,"Munich, Bayern, Germany",,"Siemens Bank provides banking services primarily to companies, special purpose entities, and public-sector debtors.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2010-01-01,year,https://new.siemens.com/global/en/company/about/businesses/financial-services/siemens-bank.html,https://www.linkedin.com/company/siemens,5,1,1
Berlin Angel Fund,https://www.crunchbase.com/organization/berlin-angel-fund,"Angel Group, Venture Capital",6,,"Berlin, Berlin, Germany","Early Stage Venture, Seed",Berlin Angel Fund is a brand of BACB the venture capital partner of Business Angels Club Berlin-Brandenburg e.V. (BACB).,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://www.berlinangelfund.vc,https://www.linkedin.com/company/berlin-angel-fund,6,2,
Archimedes New Ventures,https://www.crunchbase.com/organization/archimedes-new-ventures,Corporate Venture Capital,6,,"Bielefeld, Nordrhein-Westfalen, Germany","Early Stage Venture, Seed",Archimedes New Ventures is a (C)VC investment firm focused on European early stage startups,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2019-10-01,month,https://archimedesnewventures.de/,https://www.linkedin.com/company/archimedes-new-ventures,5,,
Next Mobility Labs,https://www.crunchbase.com/organization/next-mobility-labs,Incubator,5,,"Mainz, Rheinland-Pfalz, Germany","Early Stage Venture, Seed, Venture",Growing sustainable digital mobility startups,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-01-01,year,https://www.nextmobilitylabs.com/,https://www.linkedin.com/company/next-mobility-labs,5,1,
Armira,https://www.crunchbase.com/organization/armira,"Private Equity Firm, Venture Capital",5,,"München, Bayern, Germany","Early Stage Venture, Late Stage Venture, Private Equity, Venture",A leading investment holding providing entrepreneurial capital for entrepreneurial partnerships with a long-term horizon.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2008-01-01,year,http://www.armira.de/,https://www.linkedin.com/company/armira/,4,2,
Skybrain GmbH,https://www.crunchbase.com/organization/skybrain-gmbh,"Private Equity Firm, Venture Capital",5,,"Waldshut-tiengen, Baden-Wurttemberg, Germany",Private Equity,Die Verwaltung von Beteiligungen an anderen Unternehmen und Immobilien sowie Verwaltung eigenen Vermögens.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-04-12,day,http://www.skybrain-gmbh.de,,5,3,
Pelion Green Future,https://www.crunchbase.com/organization/pelion-green-future,"Private Equity Firm, Venture Capital",5,,"Munich, Bayern, Germany","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture","Pelion Green Future is an independent investment holding focused on clean energy, technology and climate related solutions.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-01-01,year,https://www.peliongreenfuture.com/,https://www.linkedin.com/company/peliongreenfuture/,2,3,
FUNKE Digital,https://www.crunchbase.com/organization/funke-digital,Private Equity Firm,5,1,"Berlin, Berlin, Germany",,The FUNKE Digital is the digital unit of the FUNKE MEDIENGRUPPE in Berlin and Essen. Specializing in digital solutions,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-03-01,month,https://www.funkedigital.de/investments/,https://www.linkedin.com/company/funke-digital-gmbh/about/,5,1,
Miele,https://www.crunchbase.com/organization/miele,Corporate Venture Capital,5,1,"Gütersloh, Nordrhein-Westfalen, Germany","Early Stage Venture, Late Stage Venture, Seed",Miele is a manufacturer of high-end domestic appliances and professional equipment that invests in startups through Miele Venture Capital.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1899-07-01,day,http://www.miele.com,https://www.linkedin.com/company/miele/,5,1,
Crosslantic Capital,https://www.crunchbase.com/organization/crosslantic-capital-management,Private Equity Firm,5,,"Bochum, Nordrhein-Westfalen, Germany","Late Stage Venture, Private Equity",Crosslantic Capital is an independent growth capital firms that invests into fast growing companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.crosslantic.com/,https://www.linkedin.com/company/crosslantic-capital-management-gmbh/,3,3,
Croton Capital,https://www.crunchbase.com/organization/croton-capital,"Angel Group, Venture Capital",5,1,"Berlin, Berlin, Germany","Early Stage Venture, Seed",Croton Capital is an international business angel syndicate investing in impactful early-stage companies with underrepresented founder teams,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-01-01,year,,https://www.linkedin.com/company/crotoncap/,5,1,
GENUI Partners,https://www.crunchbase.com/organization/genui-partners,Private Equity Firm,5,,"Hamburg, Hamburg, Germany",Private Equity,GENUI Partners is a private investment firm established by a group of exceptional entrepreneurs.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.genui.de/en/,https://www.linkedin.com/company/genui/,5,4,
Pirate Impact,https://www.crunchbase.com/organization/pirate-impact,Family Investment Office,5,,"Berlin, Berlin, Germany",,Pirate Impact is a Family office with focus on stage-agnostic direct investments in climate-tech & social impact companies in the EU & US.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.pirate.io/,https://www.linkedin.com/company/pirate-impact/,5,1,
Bauer Venture,https://www.crunchbase.com/organization/bauer-venture-partners-3,Corporate Venture Capital,5,2,"Hamburg, Hamburg, Germany",,Bauer Venture is a venture capital firm that acts as a strategic investment arm of Bauer Media Group.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-08-01,day,http://www.bauerventurepartners.vc/,https://www.linkedin.com/company/bauer-venture-partners-gmbh,3,,
11k Ventures,https://www.crunchbase.com/organization/11k-ventures,Angel Group,5,2,"Hamburg, Hamburg, Germany","Early Stage Venture, Seed",Business angel group that supports early-stage B2B Deep Tech startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.11k.ventures/,https://www.linkedin.com/company/11k-ventures/,4,,
Nordwind Capital,https://www.crunchbase.com/organization/nordwind-capital-gmbh,Private Equity Firm,5,,"München, Bayern, Germany","Private Equity, Venture",Nordwind Capital GmbH is a private equity firm specializing in acquisitions and growth capital investments.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,day,https://www.nordwindgrowth.com,https://www.linkedin.com/company/nordwind-growth/?originalSubdomain=de,3,4,
E.R. Capital Holdings,https://www.crunchbase.com/organization/e-r-capital-holdings,Private Equity Firm,5,1,"Hamburg, Hamburg, Germany","Early Stage Venture, Late Stage Venture",E.R. Capital Holding is a private investment and asset management group with a global outreach.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://er-capital.com,https://www.linkedin.com/company/e-r-capital-holding/,5,,
Zimmermann Investments,https://www.crunchbase.com/organization/zimmermann-investments,"Family Investment Office, Venture Capital",5,3,"Werdohl, Nordrhein-Westfalen, Germany","Early Stage Venture, Seed","Zimmermann Investments focus on seed and early stage investments in the fields of consumer internet, FinTech and technology.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1990-01-01,year,http://z-investment.de/,https://www.linkedin.com/company/zimmermann-investment-verwaltungs-gmbh,4,,1
OHB Venture Capital,https://www.crunchbase.com/organization/ohb-venture-capital,Corporate Venture Capital,5,1,"Bremen, Bremen, Germany","Early Stage Venture, Seed",OHB Venture Capital specializes in start-up and early stage investments.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1995-01-01,year,https://www.ohb-vc.de/,https://www.linkedin.com/company/ohb-venture-capital/,3,,1
Invest In Visions,https://www.crunchbase.com/organization/invest-in-visions,Venture Debt,5,,"Hessen, Sachsen-Anhalt, Germany",Debt,Invest In Visions is a Germany-based impact investor.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2006-01-01,year,https://www.investinvisions.com/,https://www.linkedin.com/company/invest-in-visions/,4,4,
DWS investment,https://www.crunchbase.com/organization/dws-investment,Private Equity Firm,5,2,"Frankfurt, Hessen, Germany",,DWS Investments is an asset management company.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1956-05-02,day,https://www.dws.de,https://www.linkedin.com/company/dws-international-gmbh,4,,2
BSCPad,https://www.crunchbase.com/organization/bscpad,Incubator,5,,"Berlin, Berlin, Germany",,The BSC Launch Pad is the first decentralized IDO platform for the Binance Smart Chain Network.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-01-01,year,https://www.bscpad.com/,,5,,
Ace Ventures,https://www.crunchbase.com/organization/ace-ventures,"Micro VC, Venture Capital",5,,"Potsdam, Brandenburg, Germany","Early Stage Venture, Seed",Ace Ventures is a Start-Up Consulting and Capital Firm.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2009-01-01,year,http://www.ace-ventures.de,https://www.linkedin.com/company/ace-ventures/,5,1,
Franger Investment,https://www.crunchbase.com/organization/franger-investment-kgaa,Family Investment Office,5,,"Ketsch, Baden-Wurttemberg, Germany","Private Equity, Seed, Venture",Franger Investment is an investment and financial services company.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2011-01-01,year,http://frangerinvestment.com,https://www.linkedin.com/company/franger-investment-kgaa/,4,2,
Nordwind Growth,https://www.crunchbase.com/organization/nordwind-growth,Private Equity Firm,5,,"Munich, Bayern, Germany",Private Equity,"Nordwind Growth is a German growth private equity firm, providing capital and strategic support for technology companies in GSA","European Union (EU), Europe, Middle East, and Africa (EMEA)",2022-01-01,year,https://www.nordwindgrowth.com/,https://www.linkedin.com/company/nordwind-growth/,5,4,
UCA,https://www.crunchbase.com/organization/uca,Private Equity Firm,5,,"München, Bayern, Germany",Private Equity,U.C.A. - the medium-sized Investment firm which provides your company with equity.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1989-01-01,year,http://www.uca.de,https://www.linkedin.com/company/uca-ag/,5,5,
AdAstra,https://www.crunchbase.com/organization/adastra,Private Equity Firm,5,4,"München, Bayern, Germany",Late Stage Venture,"AdAstra is a private equity and venture capital firm specializing in late venture, bridge financing, buyout, and turnaround investments.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.adastra.de/en/company_e.php,,5,2,
dimensional Ventures,https://www.crunchbase.com/organization/dimensional-ventures,"Angel Group, Micro VC, Venture Capital",5,2,"Cologne, Nordrhein-Westfalen, Germany","Early Stage Venture, Seed",We are a small private investment company – not a VC fund. Please see below for more details.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.dimensional.ventures/,https://www.linkedin.com/company/dimensional-ventures/,3,,
FIDURA Capital Consult,https://www.crunchbase.com/organization/fidura-capital-consult,Private Equity Firm,5,3,"München, Bayern, Germany","Early Stage Venture, Seed, Venture","FIDURA Capital Consult specializes in advising growth-oriented, mid-size companies in the search of capital.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2004-01-01,year,http://www.fidura.de,https://www.linkedin.com/company/fidura-private-equity-fonds,5,1,
Käfer Capital,https://www.crunchbase.com/organization/käfer-capital,Angel Group,5,,"Parsdorf, Bayern, Germany",Seed,Käfer Capital is a venture capital firm.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,3,1,
Aurelia Private Equity,https://www.crunchbase.com/organization/aurelia-private-equity,Private Equity Firm,5,1,"Frankfurt, Hessen, Germany","Early Stage Venture, Late Stage Venture",Aurelia Private Equity is focused on investments in early-stage technology companies in Germany.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.aurelia-pe.de,https://www.linkedin.com/company/aurelia-private-equity-gmbh/,4,1,
BFF Berlin Founders Fund,https://www.crunchbase.com/organization/bff-berlin-founders-fund,"Entrepreneurship Program, Government Office",5,,"Berlin, Berlin, Germany",Early Stage Venture,"Equity-free capital, local support and a global network for early stage founders.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://www.siliconallee.com/bff/,,5,2,
Bavarian Ministry of Economics / Bayerisches Wirtschaftsministerium,https://www.crunchbase.com/organization/bavarian-ministry-of-economics-bayerisches-wirtschaftsministerium,Startup Competition,5,,"München, Bayern, Germany",,"Bayerisches Staatsministerium für Wirtschaft, Landesentwicklung und Energie","European Union (EU), Europe, Middle East, and Africa (EMEA)",1919-01-01,year,https://www.stmwi.bayern.de/,https://www.linkedin.com/company/wirtschaftsministerium-bayern/,4,2,
2b AHEAD Ventures Fund,https://www.crunchbase.com/organization/2b-ahead-ventures-fund-01,"Private Equity Firm, Venture Capital",4,,"Leipzig, Sachsen, Germany","Early Stage Venture, Seed",2b AHEAD Ventures Fund is a self-controlled investment company builder that invests in deep-tech startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-03-01,day,https://www.2bahead-ventures.com/f%C3%BCr-investoren,https://www.linkedin.com/company/2b-ahead-ventures,4,,
