Transaction Name,Transaction Name URL,Acquiree Headquarters Location,Acquiree Name,Acquiree Name URL,Acquirer Name,Acquirer Name URL,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,Price,Price Currency,Price (in USD),Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree's Website,Acquiree Headquarters Regions,Acquiree's Estimated Revenue Range,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquiree's Total Funding Amount,Acquiree's Total Funding Amount Currency,Acquiree's Total Funding Amount (in USD),Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer Headquarters Regions,Acquirer's Website,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer's Total Funding Amount Currency,Acquirer's Total Funding Amount (in USD),Acquirer Funding Status,Acquirer's Number of Funding Rounds,CB Rank (Acquisition)
FinCompare - Smarter Business Finance acquired by VAD,https://www.crunchbase.com/acquisition/vad-acquires-fincompare--28c6b4be,"Berlin, Berlin, Germany",FinCompare - Smarter Business Finance,https://www.crunchbase.com/organization/fincompare,VAD,https://www.crunchbase.com/organization/vad,2021-12-13,day,Acquisition,,,,,"FinCompare is a SaaS enabled marketplace. Helping advisors and businesses to find, compare, and close the financing solutions.",Series A,"Banking, Commercial Lending, Finance, Financial Services, FinTech, Marketplace, SaaS, Small and Medium Businesses",https://fincompare.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,3,24500000,EUR,27984992,"VAD is an investment vehicle formed by Berliner Volksbank, Raiffeisenbank im Hochtaunus, Mittweida and Hannoversche , Atruvia and DZ Bank.","Banking, Financial Services","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,,,,"136,825"
Finiata acquired by Manta Ray Ventures,https://www.crunchbase.com/acquisition/manta-ray-ventures-acquires-bezahlt--a3bcebf9,"Berlin, Berlin, Germany",Finiata,https://www.crunchbase.com/organization/bezahlt,Manta Ray Ventures,https://www.crunchbase.com/organization/manta-ray-ventures,2022-05-03,day,Acquisition,,,,,Finiata is a fintech specializing in data-driven B2B lending and risk assessment solutions.,Series A,"Commercial Lending, Finance, Financial Services, FinTech, Lending, Payments, Social Entrepreneurship, Software",https://www.finiata.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,5,25000000,EUR,29440603,"Manta Ray Ventures provides flexible and patient capital, leveraging time, resources, and networks to support its portfolio companies.","Finance, Financial Services, Venture Capital","London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",https://mantaray.vc/,,,,,,,"50,522"
FIRST A acquired by Shop Apotheke,https://www.crunchbase.com/acquisition/shop-apotheke-acquires-first-a--f8045406,"Berlin, Berlin, Germany",FIRST A,https://www.crunchbase.com/organization/first-a,Shop Apotheke,https://www.crunchbase.com/organization/shop-apotheke,2022-04-12,day,Acquisition,,,,,FIRST A is a software application that offers delivery services for local pharmacies.,Angel,"Apps, Delivery Service, Health Care, Medical, Pharmaceutical",https://first-a.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,1,,,,Shop Apotheke provides a comfortable and easy way to purchase non-prescription drugs and pharmacy cosmetics online.,,"Venlo, Limburg, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://shop-apotheke-europe.com/en,$100M to $500M,,,,,,"30,066"
Fit Analytics acquired by Snap,https://www.crunchbase.com/acquisition/Snapchat-acquires-upcload--be547a50,"Berlin, Berlin, Germany",Fit Analytics,https://www.crunchbase.com/organization/upcload,Snap,https://www.crunchbase.com/organization/Snapchat,2021-03-17,day,Acquisition,,,,,Fit Analytics offers clothing size recommendations for online customers by measuring individual dimensions using webcams.,Pre-Seed,"E-Commerce, Fashion, Retail Technology",http://www.fitanalytics.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,1,,,,"Snap is a technology company that offers the products Snapchat, Spectacles, and Bitmoji.","Apps, Messaging, Mobile, Social Media, Software","Venice, California, United States","Greater Los Angeles Area, West Coast, Western US",https://www.snap.com,$1B to $10B,5553527880,USD,5553527880,IPO,17,"32,289"
Flexcavo acquired by Trackunit,https://www.crunchbase.com/acquisition/trackunit-acquires-flexcavo--99f588b2,"Berlin, Berlin, Germany",Flexcavo,https://www.crunchbase.com/organization/flexcavo,Trackunit,https://www.crunchbase.com/organization/trackunit,2023-01-17,day,Acquisition,,,,,ConTech venture focused on workflow automation for construction companies.,Venture - Series Unknown,"Construction, Software",https://www.flexcavo.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,6,13937500,EUR,16080576,Trackunit is the SaaS-based IoT solution and machine insights provider to the global construction equipment industry.,"Information Services, SaaS","Aalborg, Nordjylland, Denmark","European Union (EU), Nordic Countries, Scandinavia",https://www.trackunit.com/,$50M to $100M,,,,M&A,,"170,244"
FLEXIM acquired by Emerson,https://www.crunchbase.com/acquisition/emerson-acquires-flexim--41f17d5b,"Berlin, Berlin, Germany",FLEXIM,https://www.crunchbase.com/organization/flexim,Emerson,https://www.crunchbase.com/organization/emerson,2023-08-16,day,Acquisition,,,,,"FLEXIM is providing flow measurement solutions for oil & gas, chemical, water, aviation, pharmaceutical, mining, and energy industries.",,"Aerospace, Chemical, Energy, Industrial Manufacturing, Mining, Oil and Gas, Pharmaceutical, Test and Measurement, Water",https://www.flexim.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,,,,,Emerson is an technology & engineering company providing innovative solutions for customers in industrial and residential markets.,"Electronics, Industrial Automation, Internet of Things, Lighting, Manufacturing, Software","St Louis, Missouri, United States",Midwestern US,http://www.emerson.com,$10B+,,,,IPO,,"16,657"
Flexperto acquired by RGI Group,https://www.crunchbase.com/acquisition/rgi-group-acquires-flexperto--63826a94,"Berlin, Berlin, Germany",Flexperto,https://www.crunchbase.com/organization/flexperto,RGI Group,https://www.crunchbase.com/organization/rgi-group,2021-04-14,day,Acquisition,,,,,Flexperto is a SaaS-Platform for digital communication between enterprises and customers.,Seed,"Enterprise Software, Internet, SaaS, Software, Unified Communications",https://flexperto.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,3,3250000,EUR,3635192,RGI Group provides software products and technological services specifically for the insurance sector.,"Information Technology, Software","Ivrea, Piemonte, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.rgigroup.com/,$50M to $100M,,,,M&A,1,"80,778"
flyiin acquired by Priceline,https://www.crunchbase.com/acquisition/priceline-acquires-flyiin--23a669d6,"Berlin, Berlin, Germany",flyiin,https://www.crunchbase.com/organization/flyiin,Priceline,https://www.crunchbase.com/organization/priceline,2021-05-10,day,Acquisition,,,,,flyiin is a German airline distribution and booking startup.,Seed,"Information Technology, Internet, Travel",http://flyiin.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,1,2400000,EUR,2727174,Priceline is a travel-related deal search technology that enables travelers to find travel and lodging deals and discounts.,"Collaboration, E-Commerce, Leisure, Mobile, Ticketing, Transportation, Travel","Norwalk, Connecticut, United States","East Coast, New England, Northeastern US",https://www.priceline.com/,$10B+,77336990,USD,77336990,IPO,3,"144,130"
Flying Emma acquired by Obergudt,https://www.crunchbase.com/acquisition/obergudt-acquires-fandli--24d7f1b5,"Berlin, Berlin, Germany",Flying Emma,https://www.crunchbase.com/organization/fandli,Obergudt,https://www.crunchbase.com/organization/obergudt,2022-07-06,day,Acquisition,,,,,Zero Waste Food Delivery,,"Food Delivery, Sustainability",https://flyingemma.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Obergudt is a grocery delivery service.,"Food and Beverage, Food Delivery","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.obergudt.com,,50000,EUR,56567,,1,"104,645"
foodora acquired by STEER,https://www.crunchbase.com/acquisition/facedrive-acquires-foodora--0497c82f,"Berlin, Berlin, Germany",foodora,https://www.crunchbase.com/organization/foodora,STEER,https://www.crunchbase.com/organization/facedrive,2020-07-09,day,Acquisition,,,,,Foodora is an on-demand food boutique that offers meals from their customers’ favorite restaurants that traditionally do not deliver.,Undisclosed,"Delivery, Delivery Service, E-Commerce, E-Commerce Platforms, Food and Beverage, Food Delivery, Restaurants, Shipping",https://www.foodora.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$50M to $100M,M&A,1,,,,"STEER is a “people-and-planet first” ride-sharing platform, and the first to offer green transportation solutions in this space.","Automotive, Internet, Mobile Apps, Ride Sharing, Subscription Service","Scarborough, Ontario, Canada",Great Lakes,https://steeresg.com,$10M to $50M,21193676,USD,21193676,IPO,2,"137,167"
For Life acquired by Duke Street,https://www.crunchbase.com/acquisition/duke-street-acquires-for-life-b57f--a8612942,"Berlin, Berlin, Germany",For Life,https://www.crunchbase.com/organization/for-life-b57f,Duke Street,https://www.crunchbase.com/organization/duke-street,2024-12-02,day,Acquisition,,,,,"For Life specializes in the development, manufacture, and sale of medical products for ostomy, incontinence, tracheostomy, and wound care.",,"Health Care, Manufacturing, Medical, Medical Device",https://www.forlife.info,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,"Duke Street is a private equity firm which invests in mature, mid-market pan-European businesses.","Finance, Financial Services, Funding Platform, Impact Investing, Venture Capital","London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",http://www.dukestreet.com,$10M to $50M,,,,M&A,1,"1,744"
FoundersLane acquired by Creative Dock,https://www.crunchbase.com/acquisition/creative-dock-acquires-founderslane--6aa1c141,"Berlin, Berlin, Germany",FoundersLane,https://www.crunchbase.com/organization/founderslane,Creative Dock,https://www.crunchbase.com/organization/creative-dock,2022-07-07,day,Acquisition,,,,,"FoundersLane is an independent corporate company builder, co-creating digital businesses together with leading global corporations.",Venture - Series Unknown,Internet,https://founderslane.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,1,,,,Creative Dock is a business growth engine for large companies.,"Energy, FinTech, Manufacturing, Retail, Software","Praha, Hlavni mesto Praha, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://creativedock.com/,$10M to $50M,,,,,,"95,598"
FRAFOS acquired by Frequentis,https://www.crunchbase.com/acquisition/frequentis-acquires-frafos--473cf4b2,"Berlin, Berlin, Germany",FRAFOS,https://www.crunchbase.com/organization/frafos,Frequentis,https://www.crunchbase.com/organization/frequentis,2023-04-05,day,Acquisition,,,,,FRAFOS is a manufacturer of VoIP solutions in Berlin.,,"Information Technology, Telecommunications, VoIP",https://www.frafos.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Frequentis is a global provider of information and communication technologies for control centres that handle safety-sensitive operations.,"Incubators, Software, Telecommunications","Vienna, Wien, Austria","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.frequentis.com/,$10M to $50M,,,,,1,"40,805"
FRAMEN acquired by Axel Springer,https://www.crunchbase.com/acquisition/axel-springer-acquires-framen-gmbh--7c7d3020,"Berlin, Berlin, Germany",FRAMEN,https://www.crunchbase.com/organization/framen-gmbh,Axel Springer,https://www.crunchbase.com/organization/axel-springer,2020-12-16,day,Acquisition,,,,,"We build the internet of screens in semi-public spaces for news, inspirations and advertisement.",Series B,"Advertising, Computer Vision, Marketing",https://www.framen.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,6,,,,"Axel Springer is a media company engaged in publishing newspapers, magazines, and digital sales channels.","Advertising, Digital Media, Marketing, News, Publishing, Software","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.axelspringer.com,$1B to $10B,500000000,EUR,551674830,IPO,1,"91,898"
Freaks 4U acquired by NODWIN Gaming,https://www.crunchbase.com/acquisition/nodwin-gaming-acquires-freaks-4u--f79088c8,"Berlin, Berlin, Germany",Freaks 4U,https://www.crunchbase.com/organization/freaks-4u,NODWIN Gaming,https://www.crunchbase.com/organization/nodwin-gaming,2024-06-28,day,Acquisition,,2710000000,INR,32475121,"Freaks 4U is a marketing agency that offers corporate communications, in-house media, and productions for gaming and esports.",Corporate Round,"Advertising, Marketing, Online Games",http://www.freaks4u.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,3,26600000,EUR,30227382,"NODWIN Gaming is a developer of eSports and gaming applications that offers talent management, sponsorship, and brand integration.","Concerts, Content, E-Commerce, eSports, Events, Film Production, Gaming, Sports","Gurgaon, Haryana, India",Asia-Pacific (APAC),http://nodwingaming.com,$1M to $10M,56473767,USD,56473767,M&A,6,"4,650"
Fresh Energy acquired by EWE AG,https://www.crunchbase.com/acquisition/ewe-ag-acquires-fresh-energy-gmbh--72b6abc0,"Berlin, Berlin, Germany",Fresh Energy,https://www.crunchbase.com/organization/fresh-energy-gmbh,EWE AG,https://www.crunchbase.com/organization/ewe-ag,2020-12-04,day,Acquisition,,,,,"Fresh Energy is a digital electricity provider that is eco-friendly, low-cost, data-driven and based on machine learning algorithms.",Seed,"Clean Energy, Electrical Distribution, Energy, Energy Management, Machine Learning, Security",https://www.getfresh.energy,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,1,3000000,EUR,3546200,EWE is a service provider active in the business areas of sustainable energy supply.,"Energy, Information Technology, Telecommunications","Oldenburg, Mecklenburg-Vorpommern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.ewe.com/en/index.php,$1B to $10B,,,,Private Equity,2,"118,679"
Friday Finance acquired by Pliant,https://www.crunchbase.com/acquisition/pliant-275b-acquires-fridayfinance--707c61ce,"Berlin, Berlin, Germany",Friday Finance,https://www.crunchbase.com/organization/fridayfinance,Pliant,https://www.crunchbase.com/organization/pliant-275b,2023-09-04,day,Acquisition,,,,,Friday Finance is a finance management platform that automates financial management for startups and SMBs.,Series A,"Banking, Finance, Financial Services, FinTech, Payments, Software",https://fridayfinance.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,3,22984098,USD,22984098,Pliant helps companies in issuing adaptable physical and virtual credit cards tailored to their unique business requirements and processes.,"Credit Cards, Finance, Financial Services, FinTech","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.getpliant.com,,170000000,EUR,185121779,Early Stage Venture,7,"96,137"
